time,value
18067.0,9409.144999999999
18068.0,9879.858333333334
18069.0,10518.518333333335
18070.0,10815.063333333334
18071.0,10906.681666666665
18072.0,11387.125
18073.0,12468.85
18074.0,11964.021666666667
18075.0,11704.008333333333
18076.0,12032.248333333335
18077.0,11364.025000000001
18078.0,10655.878333333332
18079.0,10579.616666666667
18080.0,11417.163333333332
18081.0,11566.508333333333
18082.0,11087.143333333333
18083.0,11196.508333333333
18084.0,11360.215000000002
18085.0,11877.696666666669
18086.0,12441.955
18087.0,12347.658333333333
18088.0,11664.463333333333
18089.0,11551.583333333334
18090.0,11497.68
18091.0,10783.921666666665
18092.0,10509.423333333332
18093.0,10156.663333333334
18094.0,9551.321666666667
18095.0,10123.025
18096.0,10539.191666666668
18097.0,10676.371666666668
18098.0,10642.689999999999
18099.0,10428.971666666666
18100.0,10084.848333333333
18101.0,9784.816666666668
18102.0,9873.045
18103.0,9836.388333333334
18104.0,9694.160000000002
18105.0,9457.89
18106.0,9530.331666666667
18107.0,9557.701666666666
18108.0,9845.846666666666
18109.0,10229.563333333334
18110.0,10480.836666666666
18111.0,10687.191666666668
18112.0,10874.304999999998
18113.0,11416.335
18114.0,11681.845
18115.0,11735.881666666666
18116.0,11909.178333333335
18117.0,11899.608333333332
18118.0,11586.894999999999
18119.0,11398.161666666667
18120.0,11444.676666666666
18121.0,11120.6
18122.0,10434.300000000001
18123.0,10104.921666666667
18124.0,10274.528333333334
18125.0,10274.626666666667
18126.0,10281.058333333332
18127.0,10618.731666666667
18128.0,10819.711666666666
18129.0,10413.438333333334
18130.0,10080.101666666666
18131.0,10258.501666666665
18132.0,10243.885
18133.0,10140.769999999999
18134.0,10297.0
18135.0,10250.156666666666
18136.0,9946.503333333334
18137.0,9583.415
18138.0,9538.039999999999
18139.0,9608.286666666667
18140.0,9697.998333333335
18141.0,10089.246666666668
18142.0,10515.795
18143.0,10606.77
18144.0,10569.699999999999
18145.0,10483.116666666667
18146.0,10413.824999999999
18147.0,10451.373333333331
18148.0,10347.996666666668
18149.0,10201.786666666665
18150.0,10112.506666666666
18151.0,10286.183333333334
18152.0,10341.548333333332
18153.0,10363.839999999998
18154.0,10339.711666666668
18155.0,10280.758333333333
18156.0,10231.880000000001
18157.0,10182.848333333333
18158.0,10149.731666666667
18159.0,10216.925000000001
18160.0,10076.961666666666
18161.0,10003.225
18162.0,9862.191666666668
18163.0,9061.478333333334
18164.0,8496.243333333334
18165.0,8211.441666666668
18166.0,8124.236666666667
18167.0,8206.583333333334
18168.0,8131.19
18169.0,8144.826666666667
18170.0,8338.688333333334
18171.0,8337.688333333334
18172.0,8302.548333333332
18173.0,8186.185
18174.0,8160.97
18175.0,8020.876666666667
18176.0,8048.490000000001
18177.0,8215.81
18178.0,8400.06
18179.0,8586.361666666666
18180.0,8473.853333333333
18181.0,8316.83
18182.0,8319.791666666666
18183.0,8327.143333333332
18184.0,8271.845
18185.0,8085.82
18186.0,8048.024999999999
18187.0,8019.696666666666
18188.0,8028.886666666668
