time,value
17938.0,3648.2883333333334
17939.0,3613.398333333333
17940.0,3615.41
17941.0,3596.045
17942.0,3596.8366666666666
17943.0,3608.875
17944.0,3648.4449999999997
17945.0,3796.806666666666
17946.0,3927.8416666666667
17947.0,3947.9666666666667
17948.0,3958.1666666666665
17949.0,3959.1583333333333
17950.0,4067.685
17951.0,3969.736666666667
17952.0,3815.1416666666664
17953.0,3828.5566666666673
17954.0,3808.095
17955.0,3836.0066666666667
17956.0,3833.0816666666665
17957.0,3830.9933333333333
17958.0,3825.3033333333333
17959.0,3770.5550000000003
17960.0,3804.155
17961.0,3875.6666666666665
17962.0,3880.023333333334
17963.0,3873.043333333333
17964.0,3911.2383333333332
17965.0,3933.5316666666663
17966.0,3900.1499999999996
17967.0,3876.475
17968.0,3880.888333333334
17969.0,3877.8333333333335
17970.0,3904.718333333333
17971.0,3983.7116666666666
17972.0,4008.561666666667
17973.0,3996.1666666666674
17974.0,4005.081666666667
17975.0,4037.036666666667
17976.0,4023.8633333333332
17977.0,3999.625
17978.0,4002.9883333333332
17979.0,3997.2149999999997
17980.0,3955.0483333333336
17981.0,3929.876666666667
17982.0,3993.9183333333335
17983.0,4037.6649999999995
17984.0,4074.9616666666666
17985.0,4112.128333333333
17986.0,4114.9766666666665
17987.0,4129.091666666666
17988.0,4561.4366666666665
17989.0,4989.055
17990.0,4941.941666666667
17991.0,4982.153333333334
17992.0,5064.525
17993.0,5137.856666666667
17994.0,5246.6016666666665
17995.0,5240.666666666667
17996.0,5279.891666666667
17997.0,5177.605
17998.0,5051.058333333333
17999.0,5084.911666666666
18000.0,5118.42
18001.0,5095.056666666667
18002.0,5126.891666666667
18003.0,5226.618333333334
18004.0,5267.131666666667
18005.0,5289.291666666667
18006.0,5314.078333333333
18007.0,5307.533333333334
18008.0,5351.885
18009.0,5477.613333333334
18010.0,5501.889999999999
18011.0,5297.966666666666
18012.0,5209.94
18013.0,5233.76
18014.0,5257.326666666667
18015.0,5247.1900000000005
18016.0,5295.678333333333
18017.0,5374.038333333333
18018.0,5449.826666666667
18019.0,5647.48
18020.0,5780.738333333334
18021.0,5804.613333333334
18022.0,5758.740000000001
18023.0,5819.198333333334
18024.0,5903.6483333333335
18025.0,6087.483333333334
18026.0,6273.046666666666
18027.0,6808.543333333332
18028.0,7112.133333333332
18029.0,7428.191666666666
18030.0,7916.889999999999
18031.0,8073.5216666666665
18032.0,8024.53
18033.0,7515.298333333332
18034.0,7330.245
18035.0,7742.893333333333
18036.0,8027.974999999999
18037.0,7967.088333333333
18038.0,7786.176666666666
18039.0,7742.796666666666
18040.0,7952.136666666666
18041.0,8033.426666666666
18042.0,8374.041666666666
18043.0,8770.465
18044.0,8731.491666666667
18045.0,8661.9
18046.0,8495.786666666665
18047.0,8390.103333333333
18048.0,8548.656666666668
18049.0,8659.156666666668
18050.0,8419.703333333333
18051.0,7860.391666666666
18052.0,7741.09
18053.0,7756.153333333333
18054.0,7919.163333333334
18055.0,7954.698333333333
18056.0,7775.848333333334
18057.0,7820.651666666666
18058.0,7941.833333333333
18059.0,8044.581666666666
18060.0,8199.878333333332
18061.0,8460.644999999999
18062.0,8770.276666666665
18063.0,8973.221666666666
18064.0,9179.37
18065.0,9189.081666666667
18066.0,9180.525
